,date,team_id,CURRENT_SCORE_FEATURE,LAST_WIN_FEATURE,MINOR_PERIOD_FEATURE,MIN_TEAM_FEATURE,ONE_MAYOR_FEATURE,PRE_RANK_FEATURE,PRE_VS_FEATURE,RANK_STATUS_FEATURE,TWO_MAYOR_FEATURE
40,20040817,14374,7.0,"{'win': 3, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -14, 'toteam': 14559, 'weight_num': 0}","{'pre': 0, 'weight_goal': 3, 'toteam': 14559, 'area': 1}","{'weight_score': 6, 'toteam': 14559, 'weight_num': 0}",2.0
41,20040817,14559,2.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': 14, 'toteam': 14374, 'weight_num': 0}","{'pre': 0, 'weight_goal': -3, 'toteam': 14374, 'area': 2}","{'weight_score': -6, 'toteam': 14374, 'weight_num': 0}",2.0
42,20040818,14437,5.0,"{'win': 1, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 10, 'toteam': 14584, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14584, 'area': 1}","{'weight_score': 5, 'toteam': 14584, 'weight_num': 0}",1.0
43,20040818,14517,2.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 1, 'toteam': 14552, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14552, 'area': 2}","{'weight_score': -3, 'toteam': 14552, 'weight_num': 0}",1.0
44,20040818,14546,3.0,"{'win': 1, 'area': 1}",3.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': -11, 'toteam': 14557, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14557, 'area': 1}","{'weight_score': -5, 'toteam': 14557, 'weight_num': 0}",1.0
45,20040818,14547,1.0,"{'win': 0, 'area': 1}",3.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': -4, 'toteam': 14551, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14551, 'area': 1}","{'weight_score': 0, 'toteam': 14551, 'weight_num': 0}",1.0
46,20040818,14550,2.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 2, 'toteam': 14564, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14564, 'area': 2}","{'weight_score': -1, 'toteam': 14564, 'weight_num': 0}",1.0
47,20040818,14551,5.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 4, 'toteam': 14547, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14547, 'area': 2}","{'weight_score': 0, 'toteam': 14547, 'weight_num': 0}",1.0
48,20040818,14552,7.0,"{'win': 3, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 1}",1.0,"{'pre': 0, 'weight_score': -1, 'toteam': 14517, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14517, 'area': 1}","{'weight_score': 3, 'toteam': 14517, 'weight_num': 0}",1.0
49,20040818,14554,5.0,"{'win': 3, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': -2, 'toteam': 14573, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14573, 'area': 1}","{'weight_score': 0, 'toteam': 14573, 'weight_num': 0}",1.0
50,20040818,14555,3.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -3, 'toteam': 14640, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14640, 'area': 2}","{'weight_score': 1, 'toteam': 14640, 'weight_num': 0}",2.0
51,20040818,14556,2.0,"{'win': 1, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 3, 'toteam': 14566, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14566, 'area': 1}","{'weight_score': 2, 'toteam': 14566, 'weight_num': 0}",1.0
52,20040818,14557,7.0,"{'win': 1, 'area': 2}",3.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 11, 'toteam': 14546, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14546, 'area': 2}","{'weight_score': 5, 'toteam': 14546, 'weight_num': 0}",1.0
53,20040818,14561,5.0,"{'win': 3, 'area': 1}",1.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': -4, 'toteam': 14629, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14629, 'area': 1}","{'weight_score': 1, 'toteam': 14629, 'weight_num': 0}",1.0
54,20040818,14564,3.0,"{'win': 1, 'area': 1}",3.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': -2, 'toteam': 14550, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14550, 'area': 1}","{'weight_score': 1, 'toteam': 14550, 'weight_num': 0}",1.0
55,20040818,14566,2.0,"{'win': 1, 'area': 2}",3.0,"{'pre': 0, 'mayorstatus': 1}",1.0,"{'pre': 0, 'weight_score': -3, 'toteam': 14556, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14556, 'area': 2}","{'weight_score': -2, 'toteam': 14556, 'weight_num': 0}",1.0
56,20040818,14573,2.0,"{'win': 1, 'area': 2}",1.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 2, 'toteam': 14554, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14554, 'area': 2}","{'weight_score': 0, 'toteam': 14554, 'weight_num': 0}",1.0
57,20040818,14584,2.0,"{'win': 1, 'area': 2}",3.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': -10, 'toteam': 14437, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14437, 'area': 2}","{'weight_score': -5, 'toteam': 14437, 'weight_num': 0}",1.0
58,20040818,14629,5.0,"{'win': 1, 'area': 2}",3.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 4, 'toteam': 14561, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14561, 'area': 2}","{'weight_score': -1, 'toteam': 14561, 'weight_num': 0}",1.0
